gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,0,0,1,-0.8334689397449395,1,1,0.4447493086367846,-0.6070661685720797,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
1,0,0,0,-0.5080579656400865,1,1,-1.4921350250678969,-0.8236719739489311,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0
0,0,0,1,-1.2402326573760059,1,1,-0.12045072730775541,-0.9509748081822709,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0
0,1,1,0,0.06141123904340631,1,0,-0.021292826264853626,-0.08150018230196716,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,0
0,0,0,0,-0.8334689397449395,1,1,1.1669493545659195,-0.495086213851565,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,1
0,1,1,0,1.6071133660414583,1,1,1.6462125429399448,2.6527557087594476,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0
0,0,0,0,0.6308804437268991,1,0,-1.3384402784513991,-0.5085211741120933,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0
1,0,1,1,-1.1995562856128992,1,1,-0.4856823294824438,-0.932446856450431,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
0,0,1,1,1.403731507225925,1,1,-1.320261329926867,-0.2685578561254345,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
1,0,1,0,0.3868222131482594,1,0,-0.2890191590806885,0.04167557263565443,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0
1,0,0,0,1.1596732766472853,1,1,1.5454020102129942,2.0126632720331643,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,1
1,0,0,0,0.14276398256961956,1,1,0.6628966909311688,0.3403839129379568,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
0,0,1,0,-1.0368507985604727,1,1,0.7075177464004744,-0.7485064446481975,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
0,1,0,0,-0.7114398244556197,1,0,-0.32537705612975254,-0.6738677765341512,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
0,0,0,0,-1.2402326573760059,1,0,-1.4673455498071712,-0.9909943058210666,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0
1,0,0,0,-0.792792567981833,1,1,-1.4689981814912199,-0.8957860988767671,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0
1,0,1,1,1.200349648410392,1,0,-1.460735023070978,-0.47131160280229667,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,0,0,0,-1.2402326573760059,1,0,-1.502050815172187,-0.9794692173622801,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,0,0,0,-0.9148216832711529,1,1,0.3274124590693509,-0.6551861569561943,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
1,0,1,1,0.752909559016219,1,0,-1.497092920120042,-0.5291346180412373,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,0,1,0,1.6071133660414583,1,1,1.728844127142363,2.7386121296400456,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
1,0,0,0,0.5495277002006859,1,1,0.9934230277408413,0.935627291147476,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,0
0,0,1,1,-0.9961744267973661,1,0,-1.4888297616998003,-0.9360031694605708,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,0
0,0,1,0,1.1596732766472853,1,1,1.3718756833879162,1.957913613716567,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0
1,0,1,0,1.4850842507521385,1,1,1.5768020122099133,2.421178264660896,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0
0,0,0,1,-1.2809090291391125,1,0,-1.3037350130863834,-0.9951213851167846,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,0,0,0,0.3461458413851527,1,0,1.097538823835888,0.7458035960939001,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,0
1,0,0,0,-0.670763452692513,1,0,-1.5169245003286222,-0.8627914170604696,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,0,1,0,-0.34535247858766,1,0,0.048117704465177435,-0.3215952155852979,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,0
1,0,1,1,1.1189969048841788,1,0,-0.14358757088443258,0.6157786457293423,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0
0,1,1,1,1.6071133660414583,1,1,0.836423017756247,1.9425907342037418,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0
0,0,1,0,-0.10129424800902022,1,0,-1.4937876567519452,-0.7183216891608994,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,1
